weed_freq,Cover_Grass,Cover_Tree,Stock_rate,NrInd
0,88.73,0,1.625,3
2,92.54,2.99,2,7
2,83.61,0,2,39
2,87.3,1.59,2,12
1,64.41,3.39,3.90243902439024,42
2,62.32,2.9,3,209
2,90.91,0,1.81818181818182,9
2,54.79,0,3,20
2,66.67,1.39,3,102
1,44.79,6.25,1.76470588235294,87
1,44.79,6.25,1.76470588235294,87
0,61.73,0,1.73913043478261,6
2,81.25,2.5,3.33333333333333,35
0,41.03,2.56,1.73913043478261,5
0,66.29,1.12,1.1,5
2,100,0,0.789473684210526,2
2,75,0,0.2,8
2,64.41,1.69,0.2,44
2,78.57,3.57,0.2,16
2,91.8,0,0.2,33
2,,,2.5,18
