pca1,pca2,Category,labels
0.0240444758028913,-0.43781701791936,#050505,Years residence
0.128743386173569,0.269466785345806,#050505,Previous residence
0.150950416934503,0.171021978028462,#050505,Weed problem
-0.291604679749146,-0.159600036331972,#050505,Soil quality
0.380964886911001,0.11112086873495,#858585,Field size
-0.126193626172431,-0.109242549496764,#858585,Total duration
0.343089623560095,-0.143315321515122,#858585,Fallow duration
-0.134304311969613,0.109645603439835,#858585,Months LU
-0.108211853068079,-0.245862199802579,#fc6203,Weeding type
-0.160801141310301,-0.12153462327978,#fc6203,Machine use
-0.193525001002719,-0.0574028096040774,#fc6203,Tillage type
0.172820950442591,-0.209611322877867,#fc6203,Pesticide use
0.0381368816289798,-0.413431647753679,#fc6203,Fertiliser use
0.312757006825097,-0.0875374027783799,#fc6203,Exotic grass
0.284265627686538,0.275297087056353,#0c02c4,Cattle nr
-0.164061264411944,0.269889643770098,#0c02c4,Stock rate
0.13647145819046,0.0476999009934763,#57bdf7,Weeding freq
-0.172190898456772,-0.0731839005206343,#57bdf7,Tillage freq
0.158424697358298,-0.271319296656705,#57bdf7,Herb/pest freq
0.0754264354085673,-0.270291135395946,#fcb103,Previous crop
0.393615956482949,-0.0948756206227819,#fcb103,Crop type
0.179847219831439,-0.10567728607989,#fcb103,Previous LU
