pca1,pca2,SoilType,Slope
0.542427728489156,-2.28457162844893,Leptosol,4
5.20625859908521,1.30373150265534,Leptosol,3
4.97354713318617,0.927931247701846,Cambisol,0
0.324815078460308,-1.21901785788694,Leptosol,1
0.277697874762201,0.665331797235329,Regosol,1
-2.02514622926221,0.21109767270516,Regosol,1
-0.0994838324281263,-0.135821663099293,Fluvisol,1
-1.04122707870174,-0.00324587518164746,Leptosol,4
0.491758125952334,-4.84615814679959,Fluvisol,1
-2.07840656349401,2.48485525843657,Fluvisol,1
-0.907254259052552,0.996196546299005,Regosol,3
-2.73318636686382,-1.34376275294081,Fluvisol,4
-1.39427988298673,1.56324643331546,Regosol,0
-1.53752032714621,1.68018746600851,Regosol,1
